ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,id,ClassName
image0,freeform,/m/0five,1,0.12820512821,0.87692307692,0.1641025641,0.91282051282,0,0,0,0,0,/m/0five,Five
image1,freeform,/m/0zero,1,0.040057224607,0.16738197425,0.064516129032,0.43727598566,0,0,0,0,0,/m/0zero,Zero
image1,freeform,/m/0four,1,0.017167381974,0.18311874106,0.55913978495,0.97849462366,0,0,0,0,0,/m/0four,Four
image1,freeform,/m/0one,1,0.25464949928,0.36051502146,0.082437275986,0.45519713262,0,0,0,0,0,/m/0one,One
image1,freeform,/m/0nine,1,0.23891273247,0.36194563662,0.61290322581,1.0035842294,0,0,0,0,0,/m/0nine,Nine
image1,freeform,/m/0two,1,0.443490701,0.59084406295,0.060931899642,0.45519713262,0,0,0,0,0,/m/0two,Two
image1,freeform,/m/0one,1,0.48068669528,0.5321888412,0.55913978495,0.95340501792,0,0,0,0,0,/m/0one,One
image1,freeform,/m/0three,1,0.63376251788,0.76824034335,0.082437275986,0.45519713262,0,0,0,0,0,/m/0three,Three
image1,freeform,/m/0one,1,0.68383404864,0.72532188841,0.58422939068,0.95698924731,0,0,0,0,0,/m/0one,One
image1,freeform,/m/0four,1,0.84120171674,0.97138769671,0.046594982079,0.44444444444,0,0,0,0,0,/m/0four,Four
image1,freeform,/m/0three,1,0.84406294707,0.94992846924,0.55913978495,0.94982078853,0,0,0,0,0,/m/0three,Three
image2,freeform,/m/0five,1,0.23353293413,0.89221556886,0.12574850299,0.83233532934,0,0,0,0,0,/m/0five,Five
image3,freeform,/m/0three,1,0.035820895522,0.28059701493,0.062780269058,0.46188340807,0,0,0,0,0,/m/0three,Three
image3,freeform,/m/0six,1,0.062686567164,0.28059701493,0.53811659193,0.91031390135,0,0,0,0,0,/m/0six,Six
image3,freeform,/m/0one,1,0.45970149254,0.53134328358,0.080717488789,0.45739910314,0,0,0,0,0,/m/0one,One
image3,freeform,/m/0seven,1,0.39701492537,0.59701492537,0.59641255605,1.0044843049,0,0,0,0,0,/m/0seven,Seven
image3,freeform,/m/0two,1,0.71044776119,0.98208955224,0.071748878924,0.41704035874,0,0,0,0,0,/m/0two,Two
image3,freeform,/m/0eight,1,0.7552238806,0.93432835821,0.55605381166,0.97757847534,0,0,0,0,0,/m/0eight,Eight
image4,freeform,/m/0six,1,0.062052505967,0.15513126492,0.02994011976,0.43113772455,0,0,0,0,0,/m/0six,Six
image4,freeform,/m/0nine,1,0.062052505967,0.15035799523,0.60479041916,1.005988024,0,0,0,0,0,/m/0nine,Nine
image4,freeform,/m/0four,1,0.22911694511,0.36754176611,0.035928143713,0.47305389222,0,0,0,0,0,/m/0four,Four
