ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,id,ClassName
image0,freeform,/m/0zero,1,0.04316546762589928,0.15827338129496402,0.07272727272727272,0.41818181818181815,0,0,0,0,0,/m/0zero,Zero
image0,freeform,/m/0four,1,0.22302158273381295,0.3597122302158273,0.09090909090909091,0.43636363636363634,0,0,0,0,0,/m/0four,Four
image0,freeform,/m/0one,1,0.460431654676259,0.5539568345323741,0.09090909090909091,0.43636363636363634,0,0,0,0,0,/m/0one,One
image0,freeform,/m/0nine,1,0.6474820143884892,0.7482014388489209,0.12727272727272726,0.4727272727272727,0,0,0,0,0,/m/0nine,Nine
image0,freeform,/m/0two,1,0.841726618705036,0.9784172661870504,0.09090909090909091,0.4,0,0,0,0,0,/m/0two,Two
image0,freeform,/m/0one,1,0.07913669064748201,0.12949640287769784,0.5818181818181818,0.9272727272727272,0,0,0,0,0,/m/0one,One
image0,freeform,/m/0three,1,0.23741007194244604,0.3597122302158273,0.6,0.9454545454545454,0,0,0,0,0,/m/0three,Three
image0,freeform,/m/0one,1,0.4892086330935252,0.5179856115107914,0.6,0.9454545454545454,0,0,0,0,0,/m/0one,One
image0,freeform,/m/0four,1,0.6474820143884892,0.7697841726618705,0.5818181818181818,0.9272727272727272,0,0,0,0,0,/m/0four,Four
image0,freeform,/m/0three,1,0.8489208633093526,0.9424460431654677,0.5818181818181818,0.9272727272727272,0,0,0,0,0,/m/0three,Three
image1,freeform,/m/0five,1,0.04316546762589928,0.17985611510791366,0.12727272727272726,0.36363636363636365,0,0,0,0,0,/m/0five,Five
image1,freeform,/m/0three,1,0.22302158273381295,0.3597122302158273,0.09090909090909091,0.43636363636363634,0,0,0,0,0,/m/0three,Three
image1,freeform,/m/0six,1,0.45323741007194246,0.5611510791366906,0.03636363636363636,0.38181818181818183,0,0,0,0,0,/m/0six,Six
image1,freeform,/m/0one,1,0.6834532374100719,0.7122302158273381,0.09090909090909091,0.43636363636363634,0,0,0,0,0,/m/0one,One
image1,freeform,/m/0seven,1,0.8489208633093526,0.9568345323741008,0.12727272727272726,0.4727272727272727,0,0,0,0,0,/m/0seven,Seven
image1,freeform,/m/0two,1,0.04316546762589928,0.17985611510791366,0.6,0.9090909090909091,0,0,0,0,0,/m/0two,Two
image1,freeform,/m/0eight,1,0.2517985611510791,0.3597122302158273,0.6,0.9454545454545454,0,0,0,0,0,/m/0eight,Eight
image1,freeform,/m/0six,1,0.4676258992805755,0.539568345323741,0.5636363636363636,0.9090909090909091,0,0,0,0,0,/m/0six,Six
image1,freeform,/m/0nine,1,0.6546762589928058,0.7482014388489209,0.6363636363636364,0.9818181818181818,0,0,0,0,0,/m/0nine,Nine
image1,freeform,/m/0four,1,0.8273381294964028,0.9640287769784173,0.5818181818181818,0.9272727272727272,0,0,0,0,0,/m/0four,Four
image2,freeform,/m/0zero,1,0.03597122302158273,0.15827338129496402,0.07272727272727272,0.41818181818181815,0,0,0,0,0,/m/0zero,Zero
image2,freeform,/m/0nine,1,0.26618705035971224,0.34532374100719426,0.10909090909090909,0.45454545454545453,0,0,0,0,0,/m/0nine,Nine
image2,freeform,/m/0one,1,0.460431654676259,0.5539568345323741,0.09090909090909091,0.43636363636363634,0,0,0,0,0,/m/0one,One
image2,freeform,/m/0one,1,0.6474820143884892,0.7553956834532374,0.05454545454545454,0.4,0,0,0,0,0,/m/0one,One
image2,freeform,/m/0two,1,0.841726618705036,0.9784172661870504,0.07272727272727272,0.41818181818181815,0,0,0,0,0,/m/0two,Two
image2,freeform,/m/0four,1,0.05755395683453238,0.1366906474820144,0.6181818181818182,0.9636363636363636,0,0,0,0,0,/m/0four,Four
