ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,id,ClassName
000000-num5,freeform,/m/0five,1,0,1,0,1,0,0,0,0,0,/m/0five,Five
000001-num0,freeform,/m/0zero,1,0,1,0,1,0,0,0,0,0,/m/0zero,Zero
000002-num4,freeform,/m/0four,1,0,1,0,1,0,0,0,0,0,/m/0four,Four
000003-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0,/m/0one,One
000004-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0,/m/0nine,Nine
000005-num2,freeform,/m/0two,1,0,1,0,1,0,0,0,0,0,/m/0two,Two
000006-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0,/m/0one,One
000007-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0,/m/0three,Three
000008-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0,/m/0one,One
000009-num4,freeform,/m/0four,1,0,1,0,1,0,0,0,0,0,/m/0four,Four
000010-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0,/m/0three,Three
000011-num5,freeform,/m/0five,1,0,1,0,1,0,0,0,0,0,/m/0five,Five
000012-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0,/m/0three,Three
000013-num6,freeform,/m/0six,1,0,1,0,1,0,0,0,0,0,/m/0six,Six
000014-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0,/m/0one,One
000015-num7,freeform,/m/0seven,1,0,1,0,1,0,0,0,0,0,/m/0seven,Seven
000016-num2,freeform,/m/0two,1,0,1,0,1,0,0,0,0,0,/m/0two,Two
000017-num8,freeform,/m/0eight,1,0,1,0,1,0,0,0,0,0,/m/0eight,Eight
000018-num6,freeform,/m/0six,1,0,1,0,1,0,0,0,0,0,/m/0six,Six
000019-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0,/m/0nine,Nine
000020-num4,freeform,/m/0four,1,0,1,0,1,0,0,0,0,0,/m/0four,Four
000021-num0,freeform,/m/0zero,1,0,1,0,1,0,0,0,0,0,/m/0zero,Zero
000022-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0,/m/0nine,Nine
000023-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0,/m/0one,One
000024-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0,/m/0one,One
000025-num2,freeform,/m/0two,1,0,1,0,1,0,0,0,0,0,/m/0two,Two
000026-num4,freeform,/m/0four,1,0,1,0,1,0,0,0,0,0,/m/0four,Four
