ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
000000-num5,freeform,/m/0five,1,0,1,0,1,0,0,0,0,0
000001-num0,freeform,/m/0zero,1,0,1,0,1,0,0,0,0,0
000002-num4,freeform,/m/0four,1,0,1,0,1,0,0,0,0,0
000003-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0
000004-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0
000005-num2,freeform,/m/0two,1,0,1,0,1,0,0,0,0,0
000006-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0
000007-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0
000008-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0
000009-num4,freeform,/m/0four,1,0,1,0,1,0,0,0,0,0
000010-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0
000011-num5,freeform,/m/0five,1,0,1,0,1,0,0,0,0,0
000012-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0
000013-num6,freeform,/m/0six,1,0,1,0,1,0,0,0,0,0
000014-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0
000015-num7,freeform,/m/0seven,1,0,1,0,1,0,0,0,0,0
000016-num2,freeform,/m/0two,1,0,1,0,1,0,0,0,0,0
000017-num8,freeform,/m/0eight,1,0,1,0,1,0,0,0,0,0
000018-num6,freeform,/m/0six,1,0,1,0,1,0,0,0,0,0
000019-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0
000020-num4,freeform,/m/0four,1,0,1,0,1,0,0,0,0,0
000021-num0,freeform,/m/0zero,1,0,1,0,1,0,0,0,0,0
000022-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0
000023-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0
000024-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0
000025-num2,freeform,/m/0two,1,0,1,0,1,0,0,0,0,0
000026-num4,freeform,/m/0four,1,0,1,0,1,0,0,0,0,0
000027-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0
000028-num2,freeform,/m/0two,1,0,1,0,1,0,0,0,0,0
000029-num7,freeform,/m/0seven,1,0,1,0,1,0,0,0,0,0
000030-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0
000031-num8,freeform,/m/0eight,1,0,1,0,1,0,0,0,0,0
000032-num6,freeform,/m/0six,1,0,1,0,1,0,0,0,0,0
000033-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0
000034-num0,freeform,/m/0zero,1,0,1,0,1,0,0,0,0,0
000035-num5,freeform,/m/0five,1,0,1,0,1,0,0,0,0,0
000036-num6,freeform,/m/0six,1,0,1,0,1,0,0,0,0,0
000037-num0,freeform,/m/0zero,1,0,1,0,1,0,0,0,0,0
000038-num7,freeform,/m/0seven,1,0,1,0,1,0,0,0,0,0
000039-num6,freeform,/m/0six,1,0,1,0,1,0,0,0,0,0
000040-num1,freeform,/m/0one,1,0,1,0,1,0,0,0,0,0
000041-num8,freeform,/m/0eight,1,0,1,0,1,0,0,0,0,0
000042-num7,freeform,/m/0seven,1,0,1,0,1,0,0,0,0,0
000043-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0
000044-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0
000045-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0
000046-num8,freeform,/m/0eight,1,0,1,0,1,0,0,0,0,0
000047-num5,freeform,/m/0five,1,0,1,0,1,0,0,0,0,0
000048-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0
000049-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0
000050-num3,freeform,/m/0three,1,0,1,0,1,0,0,0,0,0
000051-num0,freeform,/m/0zero,1,0,1,0,1,0,0,0,0,0
000052-num7,freeform,/m/0seven,1,0,1,0,1,0,0,0,0,0
000053-num4,freeform,/m/0four,1,0,1,0,1,0,0,0,0,0
000054-num9,freeform,/m/0nine,1,0,1,0,1,0,0,0,0,0
